Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,C1 C2 C3 C4 C5,0.1uF,5,CAP CER 0.1UF 50V 10% X7R 1210,399-13229-1-ND,digikey
2,J1,DB9M,1,CONN D-SUB PLUG 9POS VERT SOLDER,A126098-ND,digikey
3,J2,DB9F,1, CONN D-SUB RCPT 9POS VERT SOLDER,A115163-ND,digikey
4,MDB1,MODULAR_DEVICE_BASE_3X2_MALE,2,16 Position Header Through Hole Male Pins,S1011E-16-ND,digikey
5,U1,RS232_2x2,1,IC RS232 LINE DVR/RCVR 16-SOIC,296-33568-5-ND,digikey
