Item,Function,Quantity,Description,PartNumber,Vendor
1,CABLE,1,CBL D-SUB 9PIN MALE-9PIN FEML 3M,1175-1151-ND,digikey
2,CONNECTOR,1,CONN D-SUB RCPT 9POS PNL MNT,209FE-ND,digikey
3,CONNECTOR,1,CONN D-SUB PLUG 9POS PNL MNT,209ME-ND,digikey
4,CONNECTOR,1,BACKSHELL DB9 STR METAL SHLD,609-3129-ND,digikey
5,CONNECTOR,1,CONN D-SUB RCPT 9POS STR IDC,HFM09H-ND,digikey
6,CONNECTOR,1,CONN D-SUB PLUG 9POS STR IDC,HMM09H-ND,digikey
